id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401112122,2019,1,regular,2019-08-31T02:30:00.000Z,,false,false,,3893,Reser Stadium,204,Oregon State,Pac-12,36,10,6,7,13,0.030836745674682583,197,Oklahoma State,Big 12,52,7,24,14,7,0.9691632543253175,2.82796121935414
401112085,2019,1,regular,2019-08-31T16:00:00.000Z,,false,false,,3772,Jack Trice Stadium,66,Iowa State,Big 12,29,3,0,7,3,0.9864726192654548,2460,Northern Iowa,,26,0,0,13,0,0.01352738073454518,6.40269627758833
401112096,2019,1,regular,2019-08-31T16:00:00.000Z,,false,false,,3833,Memorial Stadium,2305,Kansas,Big 12,24,7,3,6,8,0.9960275082819783,282,Indiana State,,17,0,3,0,14,0.00397249171802172,5.11787279949394
401112143,2019,1,regular,2019-08-31T18:00:00.000Z,,false,false,,3842,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big 12,20,0,3,7,10,0.8127434292325724,256,James Madison,,13,7,0,3,3,0.18725657076742763,5.85183374247711
401112139,2019,1,regular,2019-08-31T20:00:00.000Z,,false,false,,3784,Jones AT&T Stadium,2641,Texas Tech,Big 12,45,14,14,3,14,0.9995738010168264,147,Montana State,,10,0,7,0,3,0.00042619898317364235,2.37365522456761
401112106,2019,1,regular,2019-08-31T23:00:00.000Z,,false,false,,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,49,14,14,0,21,0.9981998644286053,2447,Nicholls,,14,0,0,7,7,0.0018001355713946898,1.06583523295394
401112073,2019,1,regular,2019-08-31T23:00:00.000Z,,false,false,,4727,McLane Stadium,239,Baylor,Big 12,56,14,21,14,7,0.9995363386687482,2617,Stephen F. Austin,,17,7,0,0,10,0.00046366133125175235,1.92002522103536
401112129,2019,1,regular,2019-09-01T00:00:00.000Z,,false,false,,3616,Amon G. Carter Stadium,2628,TCU,Big 12,39,10,6,13,10,0.9991826952113394,2029,Arkansas-Pine Bluff,,7,0,0,7,0,0.0008173047886606,2.74140393566071
401112135,2019,1,regular,2019-09-01T00:00:00.000Z,,false,false,,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,45,7,17,14,7,0.9998579592185066,2348,Louisiana Tech,Conference USA,14,0,0,0,14,0.00014204078149337995,1.18761018665532
401112114,2019,1,regular,2019-09-01T23:30:00.000Z,,false,false,,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,49,7,14,21,7,0.9985441242256733,248,Houston,American Athletic,31,0,10,7,14,0.0014558757743267092,2.07930141232759
