id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa
322450066004,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,14,30,34,66,3,1,7,Rush,Steele Jantz rush for 7 yards to the IowSt 41 for a 1ST down.,1.4417766318718419
322450066003,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,14,45,25,75,2,10,9,Pass Completion,Steele Jantz pass complete to Josh Lenz for 9 yards to the IowSt 34.,0.67993616009470423
322450066005,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,14,5,41,59,1,10,7,Rush,Shontrelle Johnson rush for 7 yards to the IowSt 48.,0.6972022034641013
322450066002,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,14,53,25,75,1,10,0,Pass Incompletion,Steele Jantz pass incomplete to Aaron Horne.,-0.70297002204365193
322450066010,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,12,39,57,43,4,11,0,Punt,"Kirby Van Der Kamp punt for 41 yards, punt out-of-bounds at the Tulsa 2.",
322450066006,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,13,40,48,52,2,3,10,Pass Completion,Steele Jantz pass complete to Aaron Horne for 10 yards to the Tulsa 42 for a 1ST down.,0.666874674762202
322450066007,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,13,12,58,42,1,10,-1,Rush,James White rush for a loss of 1 yard to the Tulsa 43.,-1.125910376883770
322450066008,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,12,52,57,43,2,11,0,Pass Incompletion,Steele Jantz pass incomplete to Aaron Horne.,-1.052222351415418
322450066009,Iowa State,Big 12,Tulsa,Conference USA,Iowa State,Tulsa,0,0,32245006601,1,12,46,57,43,3,11,0,Pass Incompletion,Steele Jantz pass incomplete to Josh Lenz.,-0.8748897038073657
322450066015,Tulsa,Conference USA,Iowa State,Big 12,Iowa State,Tulsa,0,0,32245006602,1,11,27,86,86,2,10,12,Pass Completion,Cody Green pass complete to Bryan Burnham for 12 yards to the Tulsa 26 for a 1ST down.,1.07337829298670505
322450066017,Tulsa,Conference USA,Iowa State,Big 12,Iowa State,Tulsa,0,0,32245006602,1,10,40,68,68,2,4,0,Rush,Ja'Terian Douglas rush for no gain to the Tulsa 32.,-0.90067771678742837
322450066012,Tulsa,Conference USA,Iowa State,Big 12,Iowa State,Tulsa,0,0,32245006602,1,12,33,98,98,1,10,4,Rush,Ja'Terian Douglas rush for 4 yards to the Tulsa 6.,-0.028184277766515997
322450066018,Tulsa,Conference USA,Iowa State,Big 12,Iowa State,Tulsa,0,0,32245006602,1,10,4,68,68,3,4,3,Pass Completion,Cody Green pass complete to Bryan Burnham for 3 yards to the Tulsa 35.,-0.19912301154964229
322450066016,Tulsa,Conference USA,Iowa State,Big 12,Iowa State,Tulsa,0,0,32245006602,1,11,9,74,74,1,10,6,Pass Completion,Cody Green pass complete to Bryan Burnham for 6 yards to the Tulsa 32.,0.3420124320108239
322450066019,Tulsa,Conference USA,Iowa State,Big 12,Iowa State,Tulsa,0,0,32245006602,1,9,23,65,65,4,1,0,Punt,"Cole Way punt for 34 yards, fair catch by Aaron Horne at the IowSt 31.",
