Conf,Season,Team,Total.Wins,Total.Losses,Total.Ties,Total.Pct,Conf.Wins,Conf.Losses,Conf.Ties,Conf.Pct,Off,Def,SRS,SOS,Pre,High,Post,Notes
ACC,1953,Maryland,10,1,0,0.909,3,0,0,1,27.1,3.5,21.3,2.49,9,1,1,
ACC,1953,Duke,7,2,1,0.75,4,0,0,1,21.7,8.1,9.41,-0.79,10,7,18,
ACC,1953,South Carolina,7,3,0,0.7,2,3,0,0.4,19.8,9.7,3.55,-3.95,,15,,
ACC,1953,North Carolina,4,6,0,0.4,2,3,0,0.4,17.3,18.7,-2.62,0.08,,,,
ACC,1953,Wake Forest,3,6,1,0.35,2,3,0,0.4,11.4,15.7,-9.47,-4.67,,,,
ACC,1953,Clemson,3,5,1,0.389,1,2,0,0.333,15.4,19.1,-2.79,-0.01,,,,
ACC,1953,North Carolina State,1,9,0,0.1,0,3,0,0,8,26.5,-18.51,-4.81,,,,
ACC,1954,Duke,8,2,1,0.773,4,0,0,1,24.5,14.6,12.49,4.49,15,6,14,
ACC,1954,Maryland,7,2,1,0.75,4,0,1,0.9,28,6.7,18,4.2,3,3,8,
ACC,1954,North Carolina,4,5,1,0.45,4,2,0,0.667,14,22.2,-0.93,4.37,,,,
ACC,1954,South Carolina,6,4,0,0.6,3,3,0,0.5,17.2,15.3,4.93,3.03,,15,,
ACC,1954,Clemson,5,5,0,0.5,1,2,0,0.333,19.3,12.1,4.7,2.1,,,,
ACC,1954,Wake Forest,2,7,1,0.25,1,4,1,0.25,12.9,16.5,-1.06,2.84,,,,
ACC,1954,Virginia,3,6,0,0.333,0,2,0,0,12.6,18,-2.88,2.23,,,,
ACC,1954,North Carolina State,2,8,0,0.2,0,4,0,0,10.4,19.3,-6.02,3.09,,,,
ACC,1955,Maryland,10,1,0,0.909,4,0,0,1,19.7,7,18.06,5.06,5,1,3,
ACC,1955,Duke,7,2,1,0.75,4,0,0,1,19.6,9.5,11.56,3.76,18,5,,
ACC,1955,Clemson,7,3,0,0.7,3,1,0,0.75,20.6,14.4,3.35,-2.26,,16,,
ACC,1955,Wake Forest,5,4,1,0.55,3,3,1,0.5,13.1,15.3,0.5,0.5,,,,
ACC,1955,North Carolina,3,7,0,0.3,3,3,0,0.5,11.7,21.8,-2.78,5.62,,,,
ACC,1955,North Carolina State,4,5,1,0.45,0,2,1,0.167,20.6,19.3,-3.48,-4.48,,,,
ACC,1955,South Carolina,3,6,0,0.333,1,5,0,0.167,13.3,23.2,-8.96,-0.73,,,,
ACC,1955,Virginia,1,9,0,0.1,0,4,0,0,9.6,20.1,-11.43,-0.83,,,,
ACC,1956,Clemson,7,2,2,0.727,4,0,1,0.9,15.2,9.2,8.01,2.01,,11,19,
ACC,1956,Duke,5,4,1,0.55,4,1,0,0.8,18.4,10,12.47,6.97,16,16,,
ACC,1956,South Carolina,7,3,0,0.7,5,2,0,0.714,12.6,6.7,6.14,0.24,,17,,
ACC,1956,Maryland,2,7,1,0.25,2,2,1,0.5,6.8,16.8,-0.36,8.84,6,6,,
ACC,1956,North Carolina,2,7,1,0.25,2,3,1,0.417,9.9,18.3,-2.19,5.41,,,,
ACC,1956,North Carolina State,3,7,0,0.3,2,4,0,0.333,9.4,16.9,-2.21,3.09,,20,,
ACC,1956,Virginia,3,7,0,0.3,1,4,0,0.2,9.2,16.7,-3.98,2.02,,,,
