Rk,Year,Conference,Schs,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP,Champion,Notes
1,2019,ACC,14,97,84,0,0.536,4,7,0,0.364,2.03,0.94,1,Clemson,
2,2018,ACC,14,100,80,0,0.556,6,5,0,0.545,4.59,2.74,2,Clemson,
3,2017,ACC,14,100,78,0,0.562,4,6,0,0.4,7.98,5.03,4,Clemson,
4,2016,ACC,14,108,74,0,0.593,9,3,0,0.75,6.39,3.13,5,Clemson,
5,2015,ACC,14,98,82,0,0.544,4,6,0,0.4,5.03,2.76,3,Clemson,
6,2014,ACC,14,103,78,0,0.569,4,7,0,0.364,5.67,2.94,4,Florida State,
7,2013,ACC,14,103,78,0,0.569,5,6,0,0.455,5.03,2.62,3,Florida State,
8,2012,ACC,12,80,72,0,0.526,4,2,0,0.667,1.92,0.8,2,Florida State,
9,2011,ACC,12,82,72,0,0.532,2,6,0,0.25,1.67,0.37,3,Clemson,
10,2010,ACC,12,83,72,0,0.535,4,5,0,0.444,4.75,2.87,4,Virginia Tech,
11,2009,ACC,12,82,71,0,0.536,3,4,0,0.429,5.36,3.49,4,Georgia Tech,record adjusted to 73-71-0 by NCAA
12,2008,ACC,12,90,66,0,0.577,4,6,0,0.4,5.41,2.96,3,Virginia Tech,record adjusted to 82-66-0 by NCAA
13,2007,ACC,12,84,70,0,0.545,2,6,0,0.25,3.76,2.3,3,Virginia Tech,record adjusted to 77-70-0 by NCAA
14,2006,ACC,12,82,72,0,0.532,4,4,0,0.5,2.32,1.13,3,Wake Forest,record adjusted to 77-72-0 by NCAA
15,2005,ACC,12,81,61,0,0.57,5,3,0,0.625,6.93,4.81,5,Florida State,
16,2004,ACC,11,71,57,0,0.555,3,3,0,0.5,7.27,4.83,4,Virginia Tech,
17,2003,ACC,9,63,51,0,0.553,5,1,0,0.833,7.04,4.75,3,Florida State,
18,2002,ACC,9,66,53,0,0.555,4,3,0,0.571,5.56,3.67,4,Florida State,
19,2001,ACC,9,59,49,0,0.546,4,2,0,0.667,3.41,2.61,3,Maryland,
20,2000,ACC,9,56,49,0,0.533,1,4,0,0.2,2.97,2.28,3,Florida State,
21,1999,ACC,9,57,48,0,0.543,2,3,0,0.4,4.36,3.2,2,Florida State,
22,1998,ACC,9,57,48,0,0.543,2,3,0,0.4,3.06,2.1,3,Florida State Georgia Tech,
23,1997,ACC,9,58,45,0,0.563,3,1,0,0.75,6.5,4.31,3,Florida State,
24,1996,ACC,9,51,52,0,0.495,1,3,0,0.25,2.6,3.02,2,Florida State,
25,1995,ACC,9,53,51,0,0.51,3,1,0,0.75,0.89,0.37,2,Florida State Virginia,
26,1994,ACC,9,57,46,1,0.553,3,2,0,0.6,2.93,1.82,3,Florida State,
27,1993,ACC,9,57,49,0,0.538,2,3,0,0.4,2.54,1.96,3,Florida State,
28,1992,ACC,9,59,44,1,0.572,3,1,0,0.75,5.49,2.96,4,Florida State,
