year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2010,Air Force,Mountain West,,13,9,4,0,8,5,3,0,6,5,1,0,6,3,3,0
2010,Akron,Mid-American,East,12,1,11,0,8,1,7,0,6,1,5,0,6,0,6,0
2010,Alabama,SEC,West,13,10,3,0,8,5,3,0,7,6,1,0,5,3,2,0
2010,Arizona,Pac-10,,13,7,6,0,10,5,5,0,7,4,3,0,5,3,2,0
2010,Arizona State,Pac-10,,12,6,6,0,10,4,6,0,6,4,2,0,6,2,4,0
2010,Arkansas,SEC,West,13,10,3,0,8,6,2,0,6,5,1,0,4,3,1,0
2010,Arkansas State,Sun Belt,,12,4,8,0,8,4,4,0,5,3,2,0,7,1,6,0
2010,Army,FBS Independents,,13,7,6,0,0,0,0,0,5,2,3,0,6,5,1,0
2010,Auburn,SEC,West,14,14,0,0,9,9,0,0,8,8,0,0,4,4,0,0
2010,Ball State,Mid-American,West,12,4,8,0,8,3,5,0,6,2,4,0,6,2,4,0
2010,Baylor,Big 12,South,13,7,6,0,8,4,4,0,6,4,2,0,5,3,2,0
2010,Boise State,Western Athletic,,13,12,1,0,8,7,1,0,6,6,0,0,5,4,1,0
2010,Boston College,ACC,Atlantic,13,7,6,0,8,4,4,0,7,4,3,0,5,3,2,0
2010,Bowling Green,Mid-American,East,12,2,10,0,8,1,7,0,5,1,4,0,7,1,6,0
2010,Buffalo,Mid-American,East,12,2,10,0,8,1,7,0,6,1,5,0,6,1,5,0
2010,BYU,Mountain West,,13,7,6,0,9,6,3,0,6,5,1,0,6,1,5,0
2010,California,Pac-10,,12,5,7,0,9,3,6,0,7,4,3,0,5,1,4,0
2010,Central Michigan,Mid-American,West,12,3,9,0,8,2,6,0,5,2,3,0,7,1,6,0
2010,Cincinnati,Big East,,12,4,8,0,7,2,5,0,7,3,4,0,5,1,4,0
2010,Clemson,ACC,Atlantic,13,6,7,0,8,4,4,0,7,5,2,0,5,1,4,0
