"","School","Conf","Div","FMeanWins","FMeanLosses","FMeanConfWins","FMeanConfLosses","FUndefeated","FirstinConfDiv","Win0500","WinConfDivOR","Season"
"1","Clemson","ACC","Atlantic",9.4,2.6,6.2,1.8,0.0427,0.8068,0.9961,0.573,2021
"2","Wake Forest","ACC","Atlantic",6.3,5.7,4.4,4.6,2e-04,0.1723,0.6964,0.0566,2021
"3","Boston College","ACC","Atlantic",6.6,5.4,4.2,3.8,3e-04,0.137,0.7632,0.0395,2021
"4","Louisville","ACC","Atlantic",6.1,5.9,3.8,4.2,3e-04,0.1001,0.6514,0.0276,2021
"5","North Carolina State","ACC","Atlantic",6.4,5.6,3.8,4.2,0,0.0901,0.7029,0.0248,2021
"6","Florida State","ACC","Atlantic",5.2,6.8,3.2,4.8,0,0.0361,0.4043,0.0063,2021
"7","Syracuse","ACC","Atlantic",4.3,7.7,2.5,5.5,0,0.0131,0.2216,0.0012,2021
"8","North Carolina","ACC","Coastal",7.7,4.3,5.9,3.1,0.0025,0.6705,0.926,0.4347,2021
"9","Miami (FL)","ACC","Coastal",6.8,5.2,4.6,3.4,0.001,0.228,0.8015,0.0842,2021
"10","Pittsburgh","ACC","Coastal",7.3,4.7,4.4,3.6,0.0019,0.1961,0.8672,0.0694,2021
"11","Virginia Tech","ACC","Coastal",6.6,5.4,4.3,3.7,7e-04,0.165,0.7458,0.0534,2021
"12","Virginia","ACC","Coastal",6.3,5.7,4.1,3.9,2e-04,0.1326,0.6895,0.0393,2021
"13","Duke","ACC","Coastal",4.9,7.1,2.9,5.1,0,0.0247,0.3481,0.0044,2021
"14","Georgia Tech","ACC","Coastal",4.3,7.7,2.6,5.4,0,0.0174,0.2205,0.0033,2021
"15","Cincinnati","American",NA,8.1,3.9,5.7,2.3,0.0059,0.5198,0.958,0.2652,2021
"16","Memphis","American",NA,8,4,5,3,0.0063,0.2905,0.9446,0.1055,2021
"17","Central Florida","American",NA,7.9,4.1,5,3,0.0045,0.2765,0.945,0.0998,2021
"18","Southern Methodist","American",NA,6.7,5.3,4.2,3.8,4e-04,0.1263,0.7688,0.0322,2021
"19","Tulsa","American",NA,6.1,5.9,4.2,3.8,1e-04,0.119,0.658,0.0312,2021
"20","Tulane","American",NA,6.1,5.9,4.1,3.9,3e-04,0.1064,0.6409,0.0263,2021
"21","Houston","American",NA,6,6,3.8,4.2,2e-04,0.0813,0.6249,0.021,2021
"22","East Carolina","American",NA,5.1,6.9,3.3,4.7,0,0.0371,0.4008,0.0066,2021
"23","Navy","American",NA,4.6,7.4,3.2,4.8,1e-04,0.0325,0.2875,0.0066,2021
"24","Temple","American",NA,5.2,6.8,3.1,4.9,0,0.0296,0.4134,0.0054,2021
"25","South Florida","American",NA,3.8,8.2,2.6,5.4,0,0.0087,0.1203,0.0011,2021
"26","Oklahoma","Big 12",NA,9,3,6.5,2.5,0.025,0.5745,0.9886,0.3306,2021
"27","Texas","Big 12",NA,7.6,4.4,5.5,3.5,0.0021,0.2459,0.9067,0.0991,2021
"28","Iowa State","Big 12",NA,7.5,4.5,5.3,3.7,0.0016,0.2239,0.8904,0.0832,2021
"29","Oklahoma State","Big 12",NA,7,5,5.2,3.8,0.001,0.1906,0.8447,0.0666,2021
"30","Texas Christian","Big 12",NA,6.6,5.4,4.5,4.5,2e-04,0.085,0.7571,0.0211,2021
"31","West Virginia","Big 12",NA,6.1,5.9,4.3,4.7,2e-04,0.0781,0.6485,0.0195,2021
"32","Kansas State","Big 12",NA,5.9,6.1,4.1,4.9,1e-04,0.0593,0.5885,0.0153,2021
"33","Baylor","Big 12",NA,5.5,6.5,3.9,5.1,0,0.0417,0.4924,0.009,2021
