offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038271,false,1,20,80,15,0,1,24,76,11,11,3,49,6,4,PUNT
Wisconsin,Big Ten,Alabama,SEC,400603827,4006038272,false,1,64,64,11,11,1,45,45,7,55,3,16,6,19,PUNT
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038273,true,1,10,90,7,55,1,100,0,5,54,2,1,6,90,TD
Wisconsin,Big Ten,Alabama,SEC,400603827,4006038274,false,1,83,83,5,54,1,60,60,3,31,2,23,4,23,PUNT
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038275,false,1,16,84,3,31,1,32,68,0,30,3,1,7,16,PUNT
Wisconsin,Big Ten,Alabama,SEC,400603827,4006038276,true,1,63,63,0,30,2,0,0,11,6,4,24,9,63,TD
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038277,true,2,12,88,11,6,2,100,0,6,39,4,27,8,88,TD
Wisconsin,Big Ten,Alabama,SEC,400603827,4006038278,false,2,82,82,6,39,2,49,49,1,15,5,24,9,33,PUNT
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038279,false,2,13,87,1,15,2,19,81,0,9,1,6,3,6,PUNT
Arkansas,SEC,UTEP,Conference USA,400603828,4006038281,true,1,25,75,15,0,1,100,0,11,35,3,25,7,75,TD
UTEP,Conference USA,Arkansas,SEC,400603828,4006038282,false,1,75,75,11,35,1,60,60,7,58,3,37,6,15,PUNT
Arkansas,SEC,UTEP,Conference USA,400603828,4006038283,true,1,21,79,7,58,1,100,0,4,11,3,47,8,79,TD
UTEP,Conference USA,Arkansas,SEC,400603828,4006038284,true,1,80,80,4,11,2,20,20,12,51,6,20,11,60,FG
Arkansas,SEC,UTEP,Conference USA,400603828,4006038285,true,2,30,70,12,51,2,100,0,11,17,1,34,3,70,TD
UTEP,Conference USA,Arkansas,SEC,400603828,4006038286,true,2,75,75,11,17,2,0,0,8,56,2,21,5,75,TD
Arkansas,SEC,UTEP,Conference USA,400603828,4006038287,true,2,25,75,8,56,2,100,0,5,17,3,39,6,75,TD
UTEP,Conference USA,Arkansas,SEC,400603828,4006038288,false,2,75,75,5,17,2,70,70,0,59,4,18,6,5,PUNT
Arkansas,SEC,UTEP,Conference USA,400603828,4006038289,false,2,10,90,0,59,2,85,15,0,0,,59,4,75,END OF HALF
Louisville,ACC,Auburn,SEC,400603829,4006038291,false,1,75,75,15,0,1,75,75,14,41,,19,1,0,INT
Auburn,SEC,Louisville,ACC,400603829,4006038292,true,1,74,26,14,41,1,100,0,12,49,1,52,5,26,TD
Louisville,ACC,Auburn,SEC,400603829,4006038293,false,1,75,75,12,49,1,19,19,7,18,5,31,12,56,MISSED FG
Auburn,SEC,Louisville,ACC,400603829,4006038294,false,1,20,80,7,18,1,29,71,5,38,1,40,3,9,PUNT
Louisville,ACC,Auburn,SEC,400603829,4006038295,false,1,68,68,5,38,1,76,76,3,20,2,18,3,-8,PUNT
Auburn,SEC,Louisville,ACC,400603829,4006038296,false,1,35,65,3,20,1,64,36,1,0,2,20,5,29,INT
Louisville,ACC,Auburn,SEC,400603829,4006038297,false,1,68,68,1,0,2,49,49,11,0,5,,10,19,PUNT
Auburn,SEC,Louisville,ACC,400603829,4006038298,false,2,21,79,11,0,2,32,68,9,29,1,31,4,11,INT
Louisville,ACC,Auburn,SEC,400603829,4006038299,true,2,77,77,9,29,2,16,16,6,54,2,35,8,61,FUMBLE TD
Florida,SEC,New Mexico State,Sun Belt,400603830,4006038301,false,1,23,77,15,0,1,34,66,11,52,3,8,5,11,PUNT
New Mexico State,Sun Belt,Florida,SEC,400603830,4006038302,false,1,74,74,11,52,1,71,71,10,23,1,29,3,3,PUNT
Florida,SEC,New Mexico State,Sun Belt,400603830,4006038303,true,1,37,63,10,23,1,100,0,8,21,2,2,4,63,TD
New Mexico State,Sun Belt,Florida,SEC,400603830,4006038304,false,1,75,75,8,21,1,33,33,3,40,4,41,10,42,PUNT
Florida,SEC,New Mexico State,Sun Belt,400603830,4006038305,true,1,11,89,3,40,2,100,0,14,6,4,34,8,89,TD
New Mexico State,Sun Belt,Florida,SEC,400603830,4006038306,false,2,75,75,14,6,2,72,72,12,36,1,30,3,3,PUNT
Florida,SEC,New Mexico State,Sun Belt,400603830,4006038307,true,2,50,50,12,36,2,100,0,10,59,1,37,5,50,TD
New Mexico State,Sun Belt,Florida,SEC,400603830,4006038308,false,2,75,75,10,59,2,19,19,8,26,2,33,7,56,DOWNS
Florida,SEC,New Mexico State,Sun Belt,400603830,4006038309,false,2,19,81,8,26,2,18,82,8,19,,7,1,-1,FUMBLE
Georgia,SEC,Louisiana Monroe,Sun Belt,400603831,4006038311,false,1,31,69,15,0,1,33,67,13,2,1,58,3,2,PUNT
Louisiana Monroe,Sun Belt,Georgia,SEC,400603831,4006038312,false,1,79,79,13,2,1,76,76,11,24,1,38,3,3,PUNT
Georgia,SEC,Louisiana Monroe,Sun Belt,400603831,4006038313,true,1,79,21,11,24,1,100,0,10,45,,39,2,21,TD
Louisiana Monroe,Sun Belt,Georgia,SEC,400603831,4006038314,false,1,75,75,10,45,1,75,75,10,34,,11,1,0,INT
Georgia,SEC,Louisiana Monroe,Sun Belt,400603831,4006038315,true,1,85,15,10,34,1,100,0,10,25,,9,1,15,TD
Louisiana Monroe,Sun Belt,Georgia,SEC,400603831,4006038316,false,1,75,75,10,25,1,77,77,8,3,2,22,3,-2,PUNT
Georgia,SEC,Louisiana Monroe,Sun Belt,400603831,4006038317,false,1,56,44,8,3,1,60,40,6,13,1,50,3,4,PUNT
Louisiana Monroe,Sun Belt,Georgia,SEC,400603831,4006038318,false,1,90,90,6,13,1,81,81,4,7,2,6,3,9,PUNT
Georgia,SEC,Louisiana Monroe,Sun Belt,400603831,4006038319,false,1,38,62,4,7,1,43,57,2,54,1,13,3,5,PUNT
Kentucky,SEC,Louisiana,Sun Belt,400603832,4006038321,true,1,25,75,15,0,1,100,0,14,32,,28,1,75,TD
Louisiana,Sun Belt,Kentucky,SEC,400603832,4006038322,false,1,74,74,14,32,1,71,71,13,41,,51,3,3,PUNT
Kentucky,SEC,Louisiana,Sun Belt,400603832,4006038323,false,1,26,74,13,41,1,20,80,12,8,1,33,3,-6,PUNT
Louisiana,Sun Belt,Kentucky,SEC,400603832,4006038324,false,1,72,72,12,8,1,37,37,8,51,3,17,10,35,PUNT
Kentucky,SEC,Louisiana,Sun Belt,400603832,4006038325,true,1,1,99,8,51,1,100,0,6,12,2,39,7,99,TD
Louisiana,Sun Belt,Kentucky,SEC,400603832,4006038326,false,1,80,80,6,12,1,5,5,1,2,5,10,12,75,FUMBLE
Kentucky,SEC,Louisiana,Sun Belt,400603832,4006038327,true,1,5,95,1,2,2,100,0,14,43,1,19,5,95,TD
Louisiana,Sun Belt,Kentucky,SEC,400603832,4006038328,true,2,75,75,14,43,2,0,0,8,33,6,10,13,75,TD
