gameId,season,week,opponent,teamScore,opponentScore,driveId,playId,period,yardsToGoal,down,distance,athleteId,athleteName,statType,stat
401112241,2019,5,Ohio State,0,14,4011122416,401112241102895101,2,3,2,3,4361195,Caleb Tannor,Sack,1
401112241,2019,5,Ohio State,0,48,40111224118,401112241103969901,3,68,3,3,4361182,Adrian Martinez,Rush,56
401112241,2019,5,Ohio State,0,48,40111224118,401112241103965301,3,75,1,10,3863893,Kanawai Noa,Target,1
401112241,2019,5,Ohio State,0,48,40111224118,401112241103965301,3,75,1,10,4361182,Adrian Martinez,Incompletion,1
401112241,2019,5,Ohio State,0,48,40111224118,401112241103976801,3,12,1,10,4037295,Dedrick Mills,Rush,3
401112241,2019,5,Ohio State,7,48,40111224118,401112241103979201,3,9,2,7,4037295,Dedrick Mills,Touchdown,1
401112241,2019,5,Ohio State,7,48,40111224118,401112241103979201,3,9,2,7,4037295,Dedrick Mills,Rush,9
401112241,2019,5,Ohio State,0,48,40111224118,401112241103965701,3,75,2,10,4034860,JD Spielman,Reception,7
401112241,2019,5,Ohio State,0,48,40111224118,401112241103965701,3,75,2,10,4361182,Adrian Martinez,Completion,7
401112241,2019,5,Ohio State,0,41,40111224116,401112241103905901,3,91,3,10,4361198,Maurice Washington,Reception,10
401112241,2019,5,Ohio State,0,41,40111224116,401112241103905901,3,91,3,10,4361182,Adrian Martinez,Completion,10
401112241,2019,5,Ohio State,0,41,40111224116,401112241103897501,3,91,1,10,4034860,JD Spielman,Target,1
401112241,2019,5,Ohio State,0,41,40111224116,401112241103897501,3,91,1,10,4361182,Adrian Martinez,Incompletion,1
401112241,2019,5,Ohio State,0,41,40111224116,401112241103898401,3,91,2,10,4037295,Dedrick Mills,Rush,0
401112241,2019,5,Ohio State,0,41,40111224116,401112241103907501,3,81,1,10,4569587,Wan'Dale Robinson,Rush,4
401112241,2019,5,Ohio State,0,41,40111224116,401112241103917101,3,78,3,7,4361182,Adrian Martinez,Rush,2
401112241,2019,5,Ohio State,0,41,40111224116,401112241103914401,3,77,2,6,4569587,Wan'Dale Robinson,Rush,-1
401112241,2019,5,Ohio State,7,48,40111224120,401112241104894901,4,42,1,10,4240787,Austin Allen,Reception,4
401112241,2019,5,Ohio State,7,48,40111224120,401112241104894901,4,42,1,10,4361182,Adrian Martinez,Completion,4
401112241,2019,5,Ohio State,7,48,40111224120,401112241104939401,4,3,4,3,4361182,Adrian Martinez,Sack Taken,12
401112241,2019,5,Ohio State,7,48,40111224120,401112241104926701,4,2,2,2,4037295,Dedrick Mills,Rush,-1
401112241,2019,5,Ohio State,7,48,40111224120,401112241104878101,4,63,2,4,4569587,Wan'Dale Robinson,Rush,4
401112241,2019,5,Ohio State,7,48,40111224120,401112241104897401,4,38,2,6,4037295,Dedrick Mills,Target,1
401112241,2019,5,Ohio State,7,48,40111224120,401112241104897401,4,38,2,6,4361182,Adrian Martinez,Incompletion,1
401112241,2019,5,Ohio State,7,48,40111224120,401112241104916901,4,19,1,10,4037295,Dedrick Mills,Rush,13
401112241,2019,5,Ohio State,7,48,40111224120,401112241104884101,4,59,1,10,4240787,Austin Allen,Reception,3
401112241,2019,5,Ohio State,7,48,40111224120,401112241104884101,4,59,1,10,4361182,Adrian Martinez,Completion,3
401112241,2019,5,Ohio State,7,48,40111224120,401112241104898401,4,38,3,6,4037295,Dedrick Mills,Rush,2
401112241,2019,5,Ohio State,7,48,40111224120,401112241104889501,4,51,3,2,4361182,Adrian Martinez,Rush,9
401112241,2019,5,Ohio State,7,48,40111224120,401112241104929901,4,3,3,3,4361182,Adrian Martinez,Rush,0
401112241,2019,5,Ohio State,7,48,40111224120,401112241104914901,4,23,2,2,4569587,Wan'Dale Robinson,Rush,4
401112241,2019,5,Ohio State,7,48,40111224120,401112241104919601,4,6,1,6,4037295,Dedrick Mills,Rush,4
401112241,2019,5,Ohio State,7,48,40111224120,401112241104908901,4,31,1,10,4569587,Wan'Dale Robinson,Reception,8
401112241,2019,5,Ohio State,7,48,40111224120,401112241104908901,4,31,1,10,4361182,Adrian Martinez,Completion,8
