offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107851,1,false,1,75,75,15,0,1,73,73,13,23,1,37,3,2,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,4011107852,2,false,1,50,50,13,23,1,55,45,11,39,1,44,3,5,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107853,3,false,1,80,80,11,39,1,75,75,10,53,,46,3,5,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,4011107854,4,false,1,36,64,10,53,1,43,57,9,56,,57,3,7,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107855,5,true,1,68,68,9,56,1,0,0,6,32,3,24,6,68,TD
Purdue,Big Ten,Vanderbilt,SEC,401110785,4011107856,6,true,1,29,71,6,32,1,100,0,3,57,2,35,7,71,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107857,7,false,1,75,75,3,57,2,45,45,14,7,4,50,7,30,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,4011107858,8,false,2,2,98,14,7,2,77,23,8,32,5,35,13,75,MISSED FG
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107859,9,false,2,77,77,8,32,2,79,79,6,51,1,41,3,-2,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078510,10,true,2,50,50,6,51,2,100,0,4,56,1,55,4,50,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078511,11,true,2,75,75,4,56,2,30,30,0,53,4,3,9,45,FG
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078512,12,false,2,25,75,0,53,2,21,79,0,16,,37,3,-4,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078513,13,false,2,57,57,0,16,2,4,4,0,0,,16,3,53,END OF HALF
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078514,14,true,3,23,77,15,0,3,100,0,13,13,1,47,6,77,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078515,15,false,3,75,75,13,13,3,56,56,9,49,3,24,8,19,INT
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078516,16,false,3,54,46,9,49,3,82,18,8,39,1,10,4,28,INT
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078517,17,false,3,81,81,8,39,3,62,62,7,1,1,38,5,19,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078518,18,true,3,15,85,7,1,3,100,0,5,6,1,55,6,85,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078519,19,false,3,80,80,5,6,3,15,15,0,36,4,30,8,65,DOWNS
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078520,20,false,3,15,85,0,36,4,22,78,14,5,1,31,3,7,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078521,21,true,4,44,44,14,5,4,0,0,12,27,1,38,5,44,TD
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078522,22,true,4,25,75,12,27,4,100,0,9,27,3,,7,75,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078523,23,true,4,75,75,9,27,4,0,0,9,16,,11,1,75,TD
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078524,24,true,4,5,95,9,16,4,100,0,6,5,3,11,7,95,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078525,25,false,4,75,75,6,5,4,64,64,5,5,1,,4,11,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078526,26,false,4,8,92,5,5,4,22,78,2,25,2,40,5,14,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078527,27,false,4,54,54,2,25,4,8,8,0,0,2,25,11,46,END OF GAME
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120861,1,true,1,75,75,15,0,1,7,7,7,37,7,23,15,68,FG
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120862,2,true,1,86,14,7,37,1,100,0,5,44,1,53,5,86,TD
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120863,3,false,1,87,87,5,44,1,81,81,4,42,1,2,3,6,PUNT
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120864,4,false,1,66,34,4,42,1,63,37,1,45,2,57,6,29,PUNT
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120865,5,false,1,80,80,1,45,2,50,50,13,24,3,21,7,30,PUNT
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120866,6,false,2,80,20,13,24,2,52,48,9,35,3,49,7,32,PUNT
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120867,7,false,2,96,96,9,35,2,94,94,7,23,2,12,3,2,PUNT
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120868,8,false,2,52,48,7,23,2,70,30,5,1,2,22,5,22,FUMBLE
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120869,9,true,2,81,81,5,1,2,65,65,0,0,5,1,12,59,END OF HALF
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208610,10,true,3,76,24,15,0,3,100,0,14,3,,57,2,76,TD
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208611,11,false,3,73,73,14,3,3,64,64,12,19,1,44,3,9,PUNT
