id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401112229,2019,1,regular,2019-08-30T01:00:00.000Z,,false,false,49112,3953,TCF Bank Stadium,135,Minnesota,Big Ten,28,0,13,7,8,0.7079013302374422,2571,South Dakota State,,21,0,7,14,0,0.2920986697625578,4.590705268
401112212,2019,1,regular,2019-08-30T23:00:00.000Z,,false,false,72005,3936,Spartan Stadium,127,Michigan State,Big Ten,28,7,18,3,0,0.9838631812471603,202,Tulsa,American Athletic,7,0,7,0,0,0.016136818752839677,0.6125123066
401112264,2019,1,regular,2019-08-30T23:15:00.000Z,,false,false,40515,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,48,7,31,3,7,0.9977830079662634,113,UMass,FBS Independents,21,21,0,0,0,0.002216992033736598,3.34314662149999
401117856,2019,1,regular,2019-08-30T23:55:00.000Z,,false,false,46704,3886,Raymond James Stadium,58,South Florida,American Athletic,0,0,0,0,0,0.0034345805398384114,275,Wisconsin,Big Ten,49,7,21,14,7,0.9965654194601616,1.4561181358
401112262,2019,1,regular,2019-08-31T01:30:00.000Z,,false,false,20144,3816,Mackay Stadium,2440,Nevada,Mountain West,34,0,7,10,17,0.8259196212435224,2509,Purdue,Big Ten,31,10,14,7,0,0.17408037875647764,5.3196804281
401112238,2019,1,regular,2019-08-31T16:00:00.000Z,,false,false,89502,3834,Memorial Stadium,158,Nebraska,Big Ten,35,7,7,14,7,0.9037885855802149,6,South Alabama,Sun Belt,21,7,0,14,0,0.09621141441978509,0.772485991899999
401112157,2019,1,regular,2019-08-31T16:00:00.000Z,,true,false,21437,3812,Lucas Oil Stadium,2050,Ball State,Mid-American,24,3,7,7,7,0.052332403827212784,84,Indiana,Big Ten,34,10,6,7,11,0.9476675961727872,3.5717794139
401112145,2019,1,regular,2019-08-31T16:00:00.000Z,,false,false,30654,3832,Memorial Stadium,356,Illinois,Big Ten,42,14,14,14,0,0.999985624546836,2006,Akron,Mid-American,3,3,0,0,0,0.000014375453163961716,0.5276152521
401112201,2019,1,regular,2019-08-31T16:00:00.000Z,,false,false,32761,3665,Maryland Stadium,120,Maryland,Big Ten,79,28,28,16,7,0.9999966893158879,47,Howard,,0,0,0,0,0,0.00000331068411207891,0.192947083
401112251,2019,1,regular,2019-08-31T16:00:00.000Z,,false,false,103228,3861,Ohio Stadium,194,Ohio State,Big Ten,45,28,0,7,10,0.9992489626414983,2226,Florida Atlantic,Conference USA,21,0,3,3,15,0.0007510373585016827,0.1900220523
401112257,2019,1,regular,2019-08-31T19:30:00.000Z,,false,false,104527,3632,Beaver Stadium,213,Penn State,Big Ten,79,20,24,14,21,0.9999634144875306,70,Idaho,,7,0,0,0,7,0.000036585512469433645,1.70947009479999
401112245,2019,1,regular,2019-08-31T20:00:00.000Z,,false,false,37179,3940,Stanford Stadium,24,Stanford,Pac-12,17,0,10,0,7,0.8936946934265202,77,Northwestern,Big Ten,7,0,0,0,7,0.10630530657347981,5.2906002402
401112222,2019,1,regular,2019-08-31T23:30:00.000Z,,false,false,110811,3558,Michigan Stadium,130,Michigan,Big Ten,40,10,17,6,7,0.9972892547068453,2393,Middle Tennessee,Conference USA,21,7,7,0,7,0.002710745293154737,0.635657455299999
401112191,2019,1,regular,2019-08-31T23:30:00.000Z,,false,false,69250,3793,Kinnick Stadium,2294,Iowa,Big Ten,38,3,7,14,14,0.9986303418827187,193,Miami (OH),Mid-American,14,0,7,0,7,0.0013696581172812916,1.85899845859999
401112192,2019,2,regular,2019-09-07T16:00:00.000Z,,false,true,61808,3793,Kinnick Stadium,2294,Iowa,Big Ten,30,7,13,7,3,0.9999793082998703,164,Rutgers,Big Ten,0,0,0,0,0,0.00002069170012974908,0.989538232599999
401112202,2019,2,regular,2019-09-07T16:00:00.000Z,,false,false,33493,3665,Maryland Stadium,120,Maryland,Big Ten,63,21,21,7,14,0.9999232292956708,183,Syracuse,ACC,20,7,6,7,0,0.00007677070432920985,1.73828600679999
401112252,2019,2,regular,2019-09-07T16:00:00.000Z,,false,false,104089,3861,Ohio Stadium,194,Ohio State,Big Ten,42,7,21,7,7,0.9999880145037198,2132,Cincinnati,American Athletic,0,0,0,0,0,0.000011985496280231267,0.9479482456
401112223,2019,2,regular,2019-09-07T16:00:00.000Z,,false,false,111747,3558,Michigan Stadium,130,Michigan,Big Ten,24,7,0,7,0,0.9601404334753726,349,Army,FBS Independents,21,7,7,0,0,0.03985956652462741,7.65488039
401110785,2019,2,regular,2019-09-07T16:00:00.000Z,,false,false,50506,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,42,7,7,14,14,0.9929547799383418,238,Vanderbilt,SEC,24,7,3,0,14,0.007045220061658197,4.1853786758
401112158,2019,2,regular,2019-09-07T19:30:00.000Z,,false,false,37784,3830,Memorial Stadium,84,Indiana,Big Ten,52,21,14,7,10,0.999995407440743,2197,Eastern Illinois,,0,0,0,0,0,0.000004592559256999529,0.1173675739
401112146,2019,2,regular,2019-09-07T19:30:00.000Z,,false,false,23108,3892,Rentschler Field,41,Connecticut,American Athletic,23,10,3,7,3,0.06095262416680899,356,Illinois,Big Ten,31,0,24,7,0,0.939047375833191,3.3857458946
401112239,2019,2,regular,2019-09-07T19:30:00.000Z,,false,false,52829,3726,Folsom Field,38,Colorado,Pac-12,34,0,0,7,24,0.78305545476007,158,Nebraska,Big Ten,31,7,10,0,14,0.21694454523993,7.43776658589999
401112268,2019,2,regular,2019-09-07T19:30:00.000Z,,false,false,74437,347,Camp Randall Stadium,275,Wisconsin,Big Ten,61,16,28,10,7,0.9999979081718521,2117,Central Michigan,Mid-American,0,0,0,0,0,0.000002091828147920971,0.1187746388
401112213,2019,2,regular,2019-09-07T23:30:00.000Z,,false,false,73113,3936,Spartan Stadium,127,Michigan State,Big Ten,51,21,10,6,14,0.9999671868771717,2711,Western Michigan,Mid-American,17,0,7,0,10,0.00003281312282832349,0.9360172957
401112258,2019,2,regular,2019-09-07T23:30:00.000Z,,false,false,104136,3632,Beaver Stadium,213,Penn State,Big Ten,45,7,0,28,10,0.9997083876090287,2084,Buffalo,Mid-American,13,0,10,3,0,0.00029161239097130753,1.09562545519999
401112230,2019,2,regular,2019-09-08T02:30:00.000Z,,false,false,34790,3660,Bulldog Stadium,278,Fresno State,Mountain West,35,0,10,11,7,0.40125001042813513,135,Minnesota,Big Ten,38,7,7,0,14,0.5987499895718649,7.4791337247
401112259,2019,3,regular,2019-09-14T16:00:00.000Z,,false,false,108661,3632,Beaver Stadium,213,Penn State,Big Ten,17,7,3,7,0,0.8792334427238858,221,Pittsburgh,ACC,10,0,10,0,0,0.12076655727611418,4.2012155878
401112147,2019,3,regular,2019-09-14T16:00:00.000Z,,false,false,34759,3832,Memorial Stadium,356,Illinois,Big Ten,31,17,0,0,14,0.9246310082337612,2199,Eastern Michigan,Mid-American,34,14,9,0,11,0.07536899176623879,8.536978625
401112203,2019,3,regular,2019-09-14T16:00:00.000Z,,false,false,30610,3806,Lincoln Financial Field,218,Temple,American Athletic,20,7,0,6,7,0.9509690929529903,120,Maryland,Big Ten,17,2,0,13,2,0.04903090704700974,10.0077735779
401112159,2019,3,regular,2019-09-14T16:00:00.000Z,,false,true,47945,3830,Memorial Stadium,84,Indiana,Big Ten,10,3,7,0,0,0.004054214321955129,194,Ohio State,Big Ten,51,7,23,21,0,0.9959457856780449,1.5659096358
401112231,2019,3,regular,2019-09-14T19:30:00.000Z,,false,false,41021,3953,TCF Bank Stadium,135,Minnesota,Big Ten,35,14,7,0,14,0.8519870934021911,290,Georgia Southern,Sun Belt,32,10,10,0,12,0.14801290659780886,6.3291243076
401112246,2019,3,regular,2019-09-14T19:30:00.000Z,,false,false,37714,3911,Ryan Field,77,Northwestern,Big Ten,30,10,6,7,7,0.9700888831172717,2439,UNLV,Mountain West,14,7,7,0,0,0.029911116882728295,3.6880986952
401112214,2019,3,regular,2019-09-14T20:00:00.000Z,,false,false,73531,3936,Spartan Stadium,127,Michigan State,Big Ten,7,0,0,0,7,0.7260012139731031,9,Arizona State,Pac-12,10,0,3,0,7,0.27399878602689687,7.2995017468
401112086,2019,3,regular,2019-09-14T20:00:00.000Z,,false,false,61500,3772,Jack Trice Stadium,66,Iowa State,Big 12,17,7,0,7,3,0.8414265397958927,2294,Iowa,Big Ten,18,3,3,3,9,0.15857346020410734,7.91811564559999
