"","Team","Gender","Goals.For","Goals.Against","Total.Wins","Total.Losses","Total.Ties","Total.Games","Plus.Minus","Pct.Won","Plus.Minus.Rank"
"1","Abilene Christian","W",45,27,12,5,2,19,18,0.631578947368421,23
"2","Air Force","M",35,34,8,10,1,19,1,0.421052631578947,35
"3","Air Force","W",36,26,10,7,1,18,10,0.555555555555556,31
"4","Akron","M",21,23,6,10,2,18,-2,0.333333333333333,38
"5","Akron","W",22,22,8,10,2,20,0,0.4,41
"6","Alabama","W",37,26,10,7,3,20,11,0.5,30
"7","Alabama A&M","W",28,38,9,9,1,19,-10,0.473684210526316,51
"8","Alabama State","W",25,55,5,15,0,20,-30,0.25,69
"9","Albany","M",29,20,9,7,1,17,9,0.529411764705882,27
"10","Albany","W",27,23,9,6,3,18,4,0.5,37
"11","Alcorn State","W",12,91,1,15,0,16,-79,0.0625,78
"12","American","M",10,28,3,11,2,16,-18,0.1875,54
"13","American","W",19,26,6,8,4,18,-7,0.333333333333333,48
"14","Appalachian State","M",26,22,11,7,1,19,4,0.578947368421053,32
"15","Appalachian State","W",23,23,5,10,3,18,0,0.277777777777778,41
"16","Arizona","W",41,29,12,7,1,20,12,0.6,29
"17","Arizona State","W",33,32,6,11,3,20,1,0.3,40
"18","Arkansas","W",62,11,17,4,2,23,51,0.739130434782609,5
"19","Arkansas Pine Bluff","W",18,45,5,12,0,17,-27,0.294117647058824,66
"20","Arkansas State","W",25,20,10,6,4,20,5,0.5,36
"21","Army","M",18,24,5,7,4,16,-6,0.3125,42
"22","Army","W",24,19,9,7,4,20,5,0.45,36
"23","Auburn","W",26,29,7,10,2,19,-3,0.368421052631579,44
"24","Austin Peay","W",16,27,4,10,4,18,-11,0.222222222222222,52
"25","Ball State","W",34,17,15,5,0,20,17,0.75,24
"26","Baylor","W",27,26,8,8,3,19,1,0.421052631578947,40
"27","Belmont","M",27,33,5,12,2,19,-6,0.263157894736842,42
"28","Belmont","W",24,33,8,9,5,22,-9,0.363636363636364,50
"29","Binghampton","M",18,29,6,9,3,18,-11,0.333333333333333,47
"30","Binghampton","W",24,20,10,6,2,18,4,0.555555555555556,37
"31","Boise State","W",46,17,18,5,0,23,29,0.782608695652174,13
"32","Boston","W",13,25,5,12,2,19,-12,0.263157894736842,53
"33","Boston College","M",26,21,9,6,3,18,5,0.5,31
"34","Boston College","W",33,31,8,8,2,18,2,0.444444444444444,39
"35","Bowling Green","M",31,17,13,7,1,21,14,0.619047619047619,22
"36","Bowling Green","W",47,28,14,7,3,24,19,0.583333333333333,22
"37","Bradley","M",17,22,8,7,4,19,-5,0.421052631578947,41
"38","Brown","M",15,21,4,9,4,17,-6,0.235294117647059,42
"39","Brown","W",32,8,14,2,3,19,24,0.736842105263158,17
"40","Bryant","M",22,25,8,8,0,16,-3,0.5,39
"41","Bryant","W",23,14,9,4,4,17,9,0.529411764705882,32
"42","Bucknell","M",24,19,6,7,7,20,5,0.3,31
