"","Team","Team.Conference","Gender","Goals.For","Goals.Against","Total.Wins","Total.Losses","Total.Ties","Total.Games","Total.Shut.Out","Total.Shut.Outs","Plus.Minus","Pct.Won","Plus.Minus.Rank","Opp.Wins","Opp.Losses","Opp.Ties","Opp.Goals.For","Opp.Goals.Against","Opp.Pct.Won","Conference.Pct.Won","Rank.Pct.Won","United.Soccer.Coaches.Ranking"
"1","Abilene Christian","Southland","W",45,27,12,5,2,19,2,6,18,0.631578947368421,23,58,116,10,231,351,0.315217391304348,0.423076923076923,21,0
"2","Air Force","Mountain West","W",36,26,10,7,1,18,1,6,10,0.555555555555556,31,86,86,26,262,265,0.434343434343434,0.478632478632479,10,0
"3","Air Force","Western Athletic","M",35,34,8,10,1,19,4,1,1,0.421052631578947,35,47,84,11,166,250,0.330985915492958,0.401785714285714,17,0
"4","Akron","Mid-American","M",21,23,6,10,2,18,5,4,-2,0.333333333333333,38,35,44,13,119,130,0.380434782608696,0.482456140350877,9,0
"5","Akron","Mid-American","W",22,22,8,10,2,20,5,6,0,0.4,41,47,87,15,156,265,0.315436241610738,0.419491525423729,22,0
"6","Alabama","SEC","W",37,26,10,7,3,20,3,4,11,0.5,30,88,89,21,313,318,0.444444444444444,0.508896797153025,4,0
"7","Alabama A&M","Southwestern Athletic","W",28,38,9,9,1,19,5,3,-10,0.473684210526316,51,36,83,2,141,332,0.297520661157025,0.372549019607843,28,0
"8","Alabama State","Southwestern Athletic","W",25,55,5,15,0,20,6,3,-30,0.25,69,14,53,2,63,234,0.202898550724638,0.372549019607843,28,0
"9","Albany","America East","M",29,20,9,7,1,17,4,3,9,0.529411764705882,27,74,54,16,242,175,0.513888888888889,0.496551724137931,5,0
"10","Albany","America East","W",27,23,9,6,3,18,3,4,4,0.5,37,41,82,13,147,211,0.301470588235294,0.424050632911392,20,0
"11","Alcorn State","Southwestern Athletic","W",12,91,1,15,0,16,12,0,-79,0.0625,78,1,14,1,14,56,0.0625,0.372549019607843,28,0
"12","American","Patriot League","M",10,28,3,11,2,16,7,2,-18,0.1875,54,17,29,9,68,98,0.309090909090909,0.401197604790419,18,0
