"","Event.Category","Name","First.Name","Last.Name","Name.Key","Gender","Class","Season","Event","Round","Place","Time","Minutes","Seconds","Flag","Pts","Event.Name","Date","Course","Hometown","Swimmer.Pr.Rank","Event.PR.Rank"
"1","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","3M Diving","Timed Finals","5th","",0,231.65,"","–","Michigan State vs. Iowa, Notre Dame",2016-09-30,"LCM","Kristiansand, NOR",NA,14
"2","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","1M Diving","Timed Finals","7th","",0,237.15,"","–","Michigan State vs. Iowa, Notre Dame",2016-09-30,"LCM","Kristiansand, NOR",NA,16
"3","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","3M Diving","Timed Finals","7th","",0,260.55,"","–","Minnesota vs. Iowa",2016-10-28,"SCY","Kristiansand, NOR",NA,30
"4","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","1M Diving","Timed Finals","6th","",0,254.4,"","–","Minnesota vs. Iowa",2016-10-28,"SCY","Kristiansand, NOR",NA,31
"5","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","3M Diving","Timed Finals","2nd","",0,281.75,"","–","Iowa vs. South Dakota",2016-11-03,"SCY","Kristiansand, NOR",NA,46
"6","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","1M Diving","Timed Finals","1st","",0,288.65,"","–","Iowa vs. South Dakota",2016-11-03,"SCY","Kristiansand, NOR",NA,67
"7","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","1M Diving","Timed Finals","5th","",0,267.45,"","–","Iowa vs. Purdue, Missouri State",2016-11-04,"SCY","Kristiansand, NOR",NA,46
"8","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","3M Diving","Timed Finals","1st","",0,307.05,"","–","Iowa vs. Purdue, Missouri State",2016-11-04,"SCY","Kristiansand, NOR",NA,57
"9","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","10M Diving","Timed Finals","9th","",0,192.7,"","–","Ohio State Invitational",2016-11-18,"SCY","Kristiansand, NOR",1,1
"10","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","3M Diving","Finals","8th","",0,221.15,"","–","Ohio State Invitational",2016-11-18,"SCY","Kristiansand, NOR",NA,8
"11","Diving","Thelma Strandberg"," Thelma","Strandberg","thelmastrandberg","W","SR","2016-2017","3M Diving","Prelims","7th","",0,258.75,"","–","Ohio State Invitational",2016-11-18,"SCY","Kristiansand, NOR",NA,29
