"","Name","Name.Key","Gender","Class","Event","Round","Place","Time","Minutes","Seconds","Flag","Pts","Event.Name","Date","Season","Course","Number","Times.Competed"
"1","Allyssa Fluit","allyssafluit","W","SR","100 Y Free","Prelims","32nd","0:50.38",0.839666666666667,50.38,"","776","Big Ten Conference Championship",2017-02-15,"2016-2017","SCY",1,24
"2","Allyssa Fluit","allyssafluit","W","SR","200 Y Free","Prelims","47th","01:50.1",1.835,110.1,"","730","Big Ten Conference Championship",2017-02-15,"2016-2017","SCY",1,25
"3","Allyssa Fluit","allyssafluit","W","SR","50 Y Free","Prelims","41st","0:23.4",0.39,23.4,"","751","Big Ten Conference Championship",2017-02-15,"2016-2017","SCY",1,8
"4","Allyssa Fluit","allyssafluit","W","SR","200 Y Free","Timed Finals","2nd","01:49.3",1.82166666666667,109.3,"","745","Iowa vs. Iowa State",2016-12-09,"2016-2017","SCY",2,25
"5","Allyssa Fluit","allyssafluit","W","SR","500 Y Free","Timed Finals","2nd","04:56.6",4.94333333333333,296.6,"","726","Iowa vs. Iowa State",2016-12-09,"2016-2017","SCY",1,21
"6","Allyssa Fluit","allyssafluit","W","SR","50 Y Free","Timed Finals","1st","0:23.71",0.395166666666667,23.71,"","722","Iowa vs. Northern Iowa, Western Illinois",2017-02-03,"2016-2017","SCY",2,8
"7","Allyssa Fluit","allyssafluit","W","SR","100 Y Free","Timed Finals","6th","0:52.29",0.8715,52.29,"","694","Iowa vs. Northwestern",2017-01-21,"2016-2017","SCY",2,24
"8","Allyssa Fluit","allyssafluit","W","SR","200 Y Free","Timed Finals","5th","01:52.4",1.87333333333333,112.4,"","685","Iowa vs. Northwestern",2017-01-21,"2016-2017","SCY",3,25
"9","Allyssa Fluit","allyssafluit","W","SR","100 Y Free","Timed Finals","2nd","0:51.18",0.853,51.18,"","740","Iowa vs. Purdue, Missouri State",2016-11-04,"2016-2017","SCY",3,24
"10","Allyssa Fluit","allyssafluit","W","SR","200 Y Free","Timed Finals","5th","01:51.5",1.85833333333333,111.5,"","702","Iowa vs. Purdue, Missouri State",2016-11-04,"2016-2017","SCY",4,25
"11","Allyssa Fluit","allyssafluit","W","SR","50 Y Free","Timed Finals","1st","0:23.89",0.398166666666667,23.89,"","706","Iowa vs. South Dakota",2016-11-03,"2016-2017","SCY",3,8
"12","Allyssa Fluit","allyssafluit","W","SR","100 Y Free","Timed Finals","3rd","0:51.23",0.853833333333333,51.23,"","738","Minnesota vs. Iowa",2016-10-28,"2016-2017","SCY",4,24
