ID,Name,Event,Round,Place,Time,Flag,Pts,Event Name,Date,Course,Gender,Season
1,Jordan Huff,200 Y Free,Timed Finals,1st,01:39.6,,767,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
2,Iowa (A),200 Y Medley Relay,Timed Finals,–,01:30.0,,763,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
3,Tyler Lentz,200 Y Fly,Timed Finals,2nd,01:49.5,,746,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
4,Iowa (A),400 Y Free Relay,Timed Finals,–,03:03.2,,744,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
5,Roman Trussov,100 Y Breast,Timed Finals,1st,55.73,,724,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
6,David Belzer,1000 Y Free,Timed Finals,1st,09:36.0,,721,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
7,Jordan Huff,100 Y Free,Timed Finals,1st,45.49,,719,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
8,Patrick Weigand,500 Y Free,Timed Finals,1st,04:37.5,,719,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
9,Tyler Lentz,400 Y IM,Timed Finals,1st,03:59.6,,717,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
10,grant betulius,100 Y Back,Timed Finals,1st,49.3,,714,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
11,Korey Schneider,100 Y Breast,Timed Finals,2nd,56.05,,712,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
12,Dustin Rhoads,100 Y Back,Timed Finals,2nd,49.47,,707,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
13,Patrick Weigand,1000 Y Free,Timed Finals,2nd,09:40.1,,706,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
14,Brian Donatelli,50 Y Free,Timed Finals,1st,20.79,,701,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
15,michael ubert,1000 Y Free,Timed Finals,3rd,09:43.2,,695,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
16,Brian Donatelli,100 Y Free,Timed Finals,–,46.03,R,694,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
17,Gianni Sesto,50 Y Free,Timed Finals,2nd,20.87,,693,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
18,Gianni Sesto,100 Y Free,Timed Finals,2nd,46.08,,692,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
19,Luke Snow,200 Y Free,Timed Finals,4th,01:43.1,,692,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
20,Iowa (B),200 Y Medley Relay,Timed Finals,–,01:33.0,,691,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
21,Brian Donatelli,100 Y Free,Timed Finals,3rd,46.29,,683,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
22,Max Behles,200 Y Free,Timed Finals,5th,01:43.8,,678,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
23,Dustin Rhoads,200 Y Back,Timed Finals,2nd,01:50.3,,676,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
24,Max Behles,500 Y Free,Timed Finals,2nd,04:43.2,,676,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
25,Mitchell Taylor,100 Y Fly,Timed Finals,3rd,50.41,,673,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
26,Iowa (B),400 Y Free Relay,Timed Finals,–,03:10.2,,665,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
27,Roman Trussov,200 Y Breast,Timed Finals,1st,02:04.5,,665,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
28,Andrew Marciniak,100 Y Breast,Timed Finals,3rd,57.43,,662,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
29,Dustin Rhoads,50 Y Back,Timed Finals,–,22.75,R,659,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
30,Iowa (C),400 Y Free Relay,Timed Finals,–,03:11.0,,656,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
31,Donald Warren,400 Y IM,Timed Finals,–,04:07.0,,655,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
32,grant betulius,100 Y Free,Timed Finals,–,47.19,R,644,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
33,Mitchell Taylor,50 Y Free,Timed Finals,5th,21.41,,642,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
34,Chris Freeman,200 Y Back,Timed Finals,3rd,01:52.2,,642,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
35,Devon Meeks,100 Y Fly,Timed Finals,5th,51.24,,641,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
36,Luke Snow,100 Y Free,Timed Finals,–,47.28,,641,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
37,Seth Lane,50 Y Free,Timed Finals,–,21.42,,641,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
38,michael ubert,500 Y Free,Timed Finals,5th,04:48.5,,640,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
39,grant betulius,200 Y Back,Timed Finals,4th,01:52.4,,639,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
40,Quillan Oak,100 Y Breast,Timed Finals,–,58.17,,637,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
41,Michael Vinyard,200 Y Fly,Timed Finals,3rd,01:55.6,,635,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
42,Devon Meeks,50 Y Free,Timed Finals,–,21.49,,635,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
43,Maverick Hovey,200 Y Fly,Timed Finals,4th,01:55.7,,632,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
44,Iowa (C),200 Y Medley Relay,Timed Finals,–,01:36.2,,626,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
