Season,Date,Time,Location,Opponent,City,Tournament,Result
1997,"October 17, 1997 (Friday)",TBA,Home,Manitoba (Exhib.),"Omaha, Neb.",,"L, 2-3 "
1997,"October 24, 1997 (Friday)",TBA,Away,Air Force,"Colorado Springs, Colo.",,"L, 2-4 "
1997,"October 26, 1997 (Sunday)",TBA,Away,Air Force,"Colorado Springs, Colo.",,"W, 6-1 "
1997,"October 31, 1997 (Friday)",TBA,Home,Princeton,"Omaha, Neb.",,"L, 2-5 "
1997,"November 1, 1997 (Saturday)",TBA,Home,Princeton,"Omaha, Neb.",,"L, 3-5 "
1997,"November 7, 1997 (Friday)",TBA,Home,Massachusetts,"Omaha, Neb.",,"L, 2-3 "
1997,"November 8, 1997 (Saturday)",TBA,Home,Massachusetts,"Omaha, Neb.",,"W, 5-1 "
1997,"November 15, 1997 (Saturday)",TBA,Home,Denver,"Omaha, Neb.",,"W, 6-3 "
1997,"November 16, 1997 (Sunday)",TBA,Home,Denver,"Omaha, Neb.",,"W, 7-5 "
1997,"November 21, 1997 (Friday)",TBA,Away,Army,"West Point, N.Y.",,"L, 1-2 "
1997,"November 22, 1997 (Saturday)",TBA,Away,Army,"West Point, N.Y.",,"L, 1-4 "
1997,"November 28, 1997 (Friday)",TBA,Home,Union,"Omaha, Neb.",,"W, 6-3 "
1997,"November 29, 1997 (Saturday)",TBA,Home,Union,"Omaha, Neb.",,"L, 3-6 "
1997,"December 5, 1997 (Friday)",TBA,Away,Minnesota Duluth,"Duluth, Minn.",,"L, 3-4 "
1997,"December 6, 1997 (Saturday)",TBA,Away,Minnesota Duluth,"Duluth, Minn.",,"L, 0-3 "
1997,"December 19, 1997 (Friday)",TBA,Home,Michigan Tech,"Omaha, Neb.",,"L, 1-2 "
1997,"December 20, 1997 (Saturday)",TBA,Home,Michigan Tech,"Omaha, Neb.",,"L, 1-6 "
1997,"December 31, 1997 (Wednesday)",TBA,Home,New Hampshire,"Omaha, Neb.",,"L, 2-6 "
1997,"January 9, 1998 (Friday)",TBA,Away,St. Cloud State,"St. Cloud, Minn.",,"L, 1-2 "
1997,"January 10, 1998 (Saturday)",TBA,Away,St. Cloud State,"St. Cloud, Minn.",,"L, 2-6 "
1997,"January 16, 1998 (Friday)",TBA,Away,Wisconsin,"Madison, Wis.",,"L, 1-5 "
1997,"January 18, 1998 (Sunday)",TBA,Home,Wisconsin,"Omaha, Neb.",,"L, 2-4 "
1997,"January 24, 1998 (Saturday)",TBA,Away,Alabama Huntsville,"Huntsville, Ala.",,"W, 5-2 "
1997,"January 25, 1998 (Sunday)",TBA,Away,Alabama Huntsville,"Huntsville, Ala.",,"T, 3-3 "
1997,"January 30, 1998 (Friday)",TBA,Home,Air Force,"Omaha, Neb.",,"W, 2-1 "
1997,"January 31, 1998 (Saturday)",TBA,Home,Air Force,"Omaha, Neb.",,"W, 4-3 "
1997,"February 13, 1998 (Friday)",TBA,Away,Mankato State,"Mankato, Minn.",,"W, 7-4 "
1997,"February 14, 1998 (Saturday)",TBA,Away,Mankato State,"Mankato, Minn.",,"W, 7-4 "
1997,"February 20, 1998 (Friday)",TBA,Home,Alabama Huntsville,"Omaha, Neb.",,"T, 2-2 "
1997,"February 21, 1998 (Saturday)",TBA,Home,Alabama Huntsville,"Omaha, Neb.",,"W, 4-0 "
1997,"February 27, 1998 (Friday)",TBA,Away,Maine,"Orono, Maine",,"L, 0-11 "
1997,"February 28, 1998 (Saturday)",TBA,Away,Maine,"Orono, Maine",,"W, 4-3 "
1997,"March 5, 1998 (Thursday)",TBA,Home,Mankato State,"Omaha, Neb.",,"L, 2-3 "
1997,"March 6, 1998 (Friday)",TBA,Home,Mankato State,"Omaha, Neb.",,"T, 2-2"
1998,"October 16, 1998 (Friday)",TBA,Home,Maine,"Omaha, Neb.",,"L, 2-7 "
1998,"October 17, 1998 (Saturday)",TBA,Home,Maine,"Omaha, Neb.",,"L, 0-3 "
1998,"October 23, 1998 (Friday)",TBA,Away,Denver,"Denver, Colo.",,"L, 1-4 "
1998,"October 24, 1998 (Saturday)",TBA,Away,Denver,"Denver, Colo.",,"L, 1-5 "
1998,"October 30, 1998 (Friday)",TBA,Home,Minnesota State,"Omaha, Neb.",,"L, 1-5 "
1998,"October 31, 1998 (Saturday)",TBA,Home,Minnesota State,"Omaha, Neb.",,"W, 6-5 "
1998,"November 6, 1998 (Friday)",TBA,Home,Army,"Omaha, Neb.",,"L, 5-6 "
1998,"November 7, 1998 (Saturday)",TBA,Home,Army,"Omaha, Neb.",,"L, 1-2 "
1998,"November 20, 1998 (Friday)",TBA,Away,Niagara,"Niagara Falls, N.Y.",,"L, 0-4 "
1998,"November 21, 1998 (Saturday)",TBA,Away,Niagara,"Niagara Falls, N.Y.",,"L, 2-6 "
