Season,Game.Number,Date,Oppponent,Result,UNO.Score,Opp.Score
1997,1,10/24/97,Air Force,L,2,4
1997,2,10/26/97,Air Force,W,6,1
1997,3,10/31/97,Princeton,L,2,5
1997,4,11/1/97,Princeton,L,3,5
1997,5,11/7/97,Massachusetts,L,2,3
1997,6,11/8/97,Massachusetts,W,5,1
1997,7,11/15/97,Denver,W,6,3
1997,8,11/16/97,Denver,W,7,5
1997,9,11/21/97,Army,L,1,2
1997,10,11/21/97,Army,L,1,4
1997,11,11/28/97,Union,W,6,3
1997,12,11/29/97,Union,L,3,6
1997,13,12/5/97,Minnesota-Duluth,L,3,4
1997,14,12/6/97,Minnesota-Duluth,L,0,3
1997,15,12/19/97,Michigan Tech,L,1,2
1997,16,12/20/97,Michigan Tech,L,1,6
1997,17,12/31/97,New Hampshire,L,2,6
1997,18,1/9/98,St. Cloud State,L,1,2
1997,19,1/10/98,St. Cloud State,L,2,6
1997,20,1/16/98,Wisconsin,L,1,5
1997,21,1/18/98,Wisconsin,L,2,4
1997,22,1/24/98,Alabama-Huntsville,W,5,2
1997,23,1/25/98,Alabama-Huntsville,T,3,3
1997,24,1/30/98,Air Force,W,2,1
1997,25,1/31/98,Air Force,W,4,3
1997,26,2/13/98,Minnesota State,W,7,4
1997,27,2/14/98,Minnesota State,W,7,4
1997,28,2/20/98,Alabama-Huntsville,T,2,2
1997,29,2/21/98,Alabama-Huntsville,W,4,0
1997,30,2/27/98,Maine,L,0,11
1997,31,2/28/98,Maine,W,4,3
1997,32,3/5/98,Minnesota State,L,2,3
1997,33,3/6/98,Minnesota State,T,2,2
1998,1,10/16/98,Maine,L,2,7
1998,2,10/17/98,Maine,L,0,3
1998,3,10/23/98,Denver,L,1,4
1998,4,10/24/98,Denver,L,1,5
1998,5,10/30/98,Minnesota State,L,1,5
1998,6,10/31/98,Minnesota State,W,6,5
1998,7,11/6/98,Army,L,5,6
1998,8,11/7/98,Army,L,1,2
1998,9,11/20/98,Niagara,L,0,4
1998,10,11/21/98,Niagara,L,2,6
1998,11,11/27/98,Dartmouth,L,1,2
1998,12,11/28/98,Dartmouth,W,7,4
1998,13,12/4/98,Michigan State,L,0,2
