id,Season,Date,Oppponent,Result,UNO.Score,Opp.Score,Location,Win,Loss,Tie,Game.Number,Game.Number.Series,running.wins,running.loses,running.ties,win.streak,lose.streak,tie.streak
1,1997,24-Oct-97,Air Force,L,2,4,"Colorado Springs, CO",0,1,0,1,1,0,1,0,0,1,0
2,1997,26-Oct-97,Air Force,W,6,1,"Colorado Springs, CO",1,0,0,2,2,1,1,0,1,0,0
3,1997,31-Oct-97,Princeton,L,2,5,"Omaha, NE",0,1,0,3,1,0,1,0,0,1,0
4,1997,11/1/97,Princeton,L,3,5,"Omaha, NE",0,1,0,4,2,0,2,0,0,2,0
5,1997,11/7/97,Massachusetts,L,2,3,"Omaha, NE",0,1,0,5,1,0,1,0,0,3,0
6,1997,8-Nov-97,Massachusetts,W,5,1,"Omaha, NE",1,0,0,6,2,1,1,0,1,0,0
7,1997,15-Nov-97,Denver,W,6,3,"Omaha, NE",1,0,0,7,1,1,0,0,2,0,0
8,1997,16-Nov-97,Denver,W,7,5,"Omaha, NE",1,0,0,8,2,2,0,0,3,0,0
9,1997,21-Nov-97,Army,L,1,2,"West Point, NY",0,1,0,9,1,0,1,0,0,1,0
10,1997,21-Nov-97,Army,L,1,4,"West Point, NY",0,1,0,10,2,0,2,0,0,2,0
11,1997,28-Nov-97,Union,W,6,3,"Omaha, NE",1,0,0,11,1,1,0,0,1,0,0
12,1997,29-Nov-97,Union,L,3,6,"Omaha, NE",0,1,0,12,2,1,1,0,0,1,0
13,1997,5-Dec-97,Minnesota-Duluth,L,3,4,"Duluth, MN",0,1,0,13,1,0,1,0,0,2,0
14,1997,6-Dec-97,Minnesota-Duluth,L,0,3,"Duluth, MN",0,1,0,14,2,0,2,0,0,3,0
15,1997,19-Dec-97,Michigan Tech,L,1,2,"Omaha, NE",0,1,0,15,1,0,1,0,0,4,0
16,1997,20-Dec-97,Michigan Tech,L,1,6,"Omaha, NE",0,1,0,16,2,0,2,0,0,5,0
17,1997,31-Dec-97,New Hampshire,L,2,6,"Omaha, NE",0,1,0,17,1,0,1,0,0,6,0
18,1997,9-Jan-98,St. Cloud State,L,1,2,"St. Cloud, MN",0,1,0,18,1,0,1,0,0,7,0
19,1997,10-Jan-98,St. Cloud State,L,2,6,"St. Cloud, MN",0,1,0,19,2,0,2,0,0,8,0
20,1997,16-Jan-98,Wisconsin,L,1,5,"Madison, WI",0,1,0,20,1,0,1,0,0,9,0
21,1997,18-Jan-98,Wisconsin,L,2,4,"Madison, WI",0,1,0,21,2,0,2,0,0,10,0
22,1997,24-Jan-98,Alabama-Huntsville,W,5,2,"Huntsville, AL",1,0,0,22,1,1,0,0,1,0,0
23,1997,25-Jan-98,Alabama-Huntsville,T,3,3,"Huntsville, AL",0,0,1,23,2,1,0,1,0,0,1
24,1997,30-Jan-98,Air Force,W,2,1,"Omaha, NE",1,0,0,24,3,2,1,0,1,0,0
25,1997,31-Jan-98,Air Force,W,4,3,"Omaha, NE",1,0,0,25,4,3,1,0,2,0,0
26,1997,13-Feb-98,Minnesota State,W,7,4,"Mankato, MN",1,0,0,26,1,1,0,0,3,0,0
